Reference,Qty,Description,Part Number,Manufacturer,Digikey
"R1,R2,R3,R9,R10,R11,R12",7,RES 68 OHM 1% 1/4W 1206,RC1206FR-1068RL,YAGEO,13-RC1206FR-1068RLCT-ND
R4,1,RES 15 OHM 1% 1/4W 1206,RC1206FR-1015RL,YAGEO,13-RC1206FR-1015RLCT-ND
R5,1,RES 1K OHM 5% 1/10W 0603,RMCF0603JJ1K00,Stackpole Electronics Inc,RMCF0603JJ1K00CT-ND
"R6,R7,R8",3,RES 68 OHM 5% 1/8W 0603,RK73B1JTTD680J,"KOA Speer Electronics, Inc.",2019-RK73B1JTTD680JCT-ND
PWR,1,LED BLUE CLEAR 1206 SMD,LTST-C150TBKT,Lite-On Inc.,160-1643-1-ND
LED1,1,LED GREEN CLEAR 1206 SMD,LTST-C150KGKT,Lite-On Inc.,160-1404-1-ND
LED2,1,LED YELLOW CLEAR 1206 SMD,LTST-C150KSKT,Lite-On Inc.,160-1406-1-ND
LED3,1,LED RED CLEAR 1206 SMD,LTST-C150KRKT,Lite-On Inc.,160-1405-1-ND
"LEDS1,LEDS2,LEDS3,LEDS4",4,LED ORANGE CLEAR 1206 SMD,LTST-C150KFKT,Lite-On Inc.,160-1403-1-ND
C1,1,CAP ALUM 150UF 20% 6.3V RADIAL,UPW0J151MED,Nichicon,493-1698-ND
"C2,C3",2,CAP CER 0.1UF 50V X7R 0603,CL10B104KB8NNNC,Samsung Electro-Mechanics,1276-1000-1-ND
"Q1,Q2,Q3,Q4",4,MOSFET N-CH 20V 4.1A SOT23,IRLML6246TRPBF,Infineon Technologies,IRLML6246TRPBFCT-ND
RGB,1,LED RGB CLEAR 4SMD,19-237/R6GHBHC-A07/2T,Everlight Electronics Co Ltd,1080-1590-1-ND
"P1,P2,P3,P4",4,SWITCH TACTILE SPST-NO 0.05A 24V,1825910-6,TE Connectivity ALCOSWITCH Switches,450-1650-ND
RPI-CONN,1,CONN HDR 40POS 0.1 TIN PCB,PPTC202LFBN-RC,Sullins Connector Solutions,S6104-ND
CPLD-CONN,2,CONN HDR 32POS 0.1 TIN PCB,PPTC162LFBN-RC,Sullins Connector Solutions,S7084-ND
FLASH-CONN,2,CONN HDR 24POS 0.1 TIN PCB,PPTC241LFBN-RC,Sullins Connector Solutions,S7022-ND
